amount,bundleInfo,category,conversionFactor,descriptionLong,descriptionShort,inPromotion,images,name,packageLabel,packageLabelKey,parentCategories,productId,medical,sku,slug,upsellSku,published,purchased,volumeLabelKey,volumeLabelLong,volumeLabelShort,weight,weightArticle,weightPieceArticle,weightPerPiece,alcoholByVolume,brandMarketing,countryOfOrigin,features,keywordSearch,meatBorn,meatButchered,meatSlaughtered,meatRaised,nappySize,nutIngredients,badges,productMarketing,regulatedProductName,storageAndUsageStatements,storageType,telephoneHelpline,wineColour,wineType,quantityStepSize,brand_name,brand_slug,price_baseUnitLong,price_baseUnitShort,price_basePriceFactor,price_regular_perStandardizedQuantity,price_regular_tags,price_regular_value,ageRequiredInMonths,depositType,allergens,maxQuantity,price_depositPrice,price_crossed,price_discountPercentage,price_regular_promotionQuantity,price_regular_promotionText,price_regular_promotionType,price_regular_promotionValue,price_lowestPrice,drainedWeight,preparationTime,minQuantity,bundleSize
1,,Exotisches Obst,1.0,,"Die Bananen haben den Apfel langst als beliebteste Obstsorte in Österreich abgelost. Biologisch angebaute, fair gehandelte Bananen sind die ökologisch, sozial und kulinarisch überzeugende Alternative. Bei der Ja! Natürlich Bio-Banane werden sowohl der Bio- als auch der FAIRTRADE-Gedanke in einem wohlschmeckenden Naturprodukt vereint.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-402489-033261172-8PXUmX24.jpg'],Ja! Natürlich Bananen,Kilo,kg,"[[{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13752', 'name': 'Obst', 'slug': 'obst-13752', 'orderHint': '000000020'}, {'key': '13754', 'name': 'Exotisches Obst', 'slug': 'exotisches-obst-13754', 'orderHint': '000000050'}]]",f52001ac-d9a2-4651-b3fc-01ffb51000b8,False,00-402489,ja-natuerlich-bananen-00402489,00-870325,True,False,kg,Kilogramm,kg,1.0,True,False,0,,,Peru,,,,,,,,,"['pp-veget', 'gs-ft', 'pp-bio']",,,,,,,,500.0,Ja! Natürlich,ja--natuerlich,Kilogramm,kg,1,249.0,[],249.0,,,,,,,,,,,,,,,,
0.5,,Dosenbier,0.5,,<ul><li>Wieselburger Gold glänzt in einem überzeugendem Goldgelb.</li><li>Im Geschmack malzig und röstig und von einem hopfenbetonten Nachtrunk geprägt.</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769771-1121213361-HpMbg0E1.jpg'],Wieselburger Gold,Dose,ds,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13796', 'name': 'Bier & Radler', 'slug': 'bier-und-radler-13796', 'orderHint': '000000460'}, {'key': '13798', 'name': 'Dosenbier', 'slug': 'dosenbier-13798', 'orderHint': '000000480'}]]",324d3afa-4d14-44f2-b675-b3abeddd298f,False,00-769771,wieselburger-gold-00769771,,True,False,lt,Liter,liter,0.53,False,False,0,5.0,,Österreich,,,,,,,,,"['pp-veget', 'pp-vegan', 'isdeposittype-singleusedeposit', 'homecountry']","""Brauerei WieselburgSchutzmarke seit 1770 Brauen aus Leidenschaft.""",,Vor Wärme geschützt lagern.,,,,,,Wieselburger,wieselburger,Milliliter,ml,500,146.0,[],146.0,216.0,SINGLE_USE,['CONTAINS AW'],72.0,25.0,,,,,,,,,,,
1,,Milch,1.0,,"Die Bio-Vollmilch von Ja! Natürlich mit einem Fettanteil von 3,5 Prozent wird von österreichischen Bäuerinnen und Bauern aus den Regionen Pinzgau, Pongau, Mostviertel & Kaiserwinkl produziert. Die Milchkühe genießen höchste Tierwohlstandards, u.a. im Nationalpark Hohe Tauern. Anbindehaltung ist strikt verboten.<br>Verpackt ist die Bio-Milch in einem umweltfreundlichen Karton, dem 'Natural Brown Board'. Dieser ist im Vergleich zu herkömmlichen Milchkartons ungebleicht und wird ausschließlich in FSC-zertifizierter Forstwirtschaft hergestellt. Die Beschichtung besteht aus Tallöl, einem Nebenprodukt der Papierherstellung. In der Herstellung des Brown Boards werden weniger Material und Energie verbraucht. Das schont Umwelt und Klima und erzeugt rund 20 Prozent weniger CO2 als die Herstellung herkömmlicher Milchkartons.<ul><li>Bio-Vollmilch - länger haltbar</li><li>Nach höchsten Tierwohlstandards produziert</li><li>365 Tage und 24 Stunden am Tag Freilauf für die Milchkühe - Anbindehaltung ist strikt verboten!</li><li>Ausschließlich Fütterung mit österreichischem gentechnikfreiem* Bio-Futter</li><li>Umweltfreundliche Verpackung spart 20 Prozent CO2 in der Produktion</li></ul><br>* gemäß EU-Bio-Verordnung",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-651606-837117153-DI6pLFb2.jpg'],Ja! Natürlich Vollmilch länger frisch 3.5%,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13869', 'name': 'Milchprodukte', 'slug': 'milchprodukte-13869', 'orderHint': '000001190'}, {'key': '13875', 'name': 'Milch', 'slug': 'milch-13875', 'orderHint': '000001250'}]]",609af1ad-8ab2-418f-85c6-206a62e6391b,False,00-651606,ja-natuerlich-vollmilch-laenger-frisch-35-00651606,,True,False,lt,Liter,liter,1.025,False,False,0,,,Österreich,,,,,,,,,"['kuehlung', 'gs-gentech', 'pp-bio', 'homecountry']",,,,,,,,1.0,Ja! Natürlich,ja--natuerlich,Liter,Liter,1,189.0,[],189.0,,ONEWAY,['CONTAINS AM'],36.0,,,,,,,,,,,,
1.5,,Limonaden,1.0,,"Coca-Cola zero schmeckt so einzigartig wie das Original, nur eben ohne Zucker. Eine prickelnde Erfrischung, zum Teilen gedacht.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769783-383342488-EZj0iOrI.jpg'],Coca Cola Zero,Flasche,fl,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13785', 'name': 'Alkoholfreie Getränke', 'slug': 'alkoholfreie-getraenke-13785', 'orderHint': '000000350'}, {'key': '13791', 'name': 'Limonaden', 'slug': 'limonaden-13791', 'orderHint': '000000410'}]]",8da20b47-e57e-4883-8a5a-2e83cd628863,False,00-769783,coca-cola-zero-00769783,,True,False,lt,Liter,liter,1.62,False,False,0,,,,,,,,,,,,"['pp-veget', 'pp-vegan', 'isdeposittype-singleusedeposit']","Coca-Cola zero schmeckt so einzigartig wie das Original, nur eben ohne Zucker. Eine prickelnde Erfrischung, zum Teilen gedacht.",,"Bei Raumtemperatur, trocken, geruchsfrei sowie vor Wärme / Sonnenlicht geschützt lagern.",,,,,,Coca Cola,coca-cola,Liter,Liter,1,159.0,[],239.0,,SINGLE_USE,,,25.0,,,,,,,,,,,
1,,Haltbarmilch & Kondensmilch,1.0,,"Die clever H-Milch 3,5% ist eine Trinkmilch, die durch Ultra-Hocherhitzung länger haltbar gemacht wird, aber dadurch nicht an Geschmack verliert.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-746506-2126336914-V6-v6tjw.jpg'],Clever Haltbar-Vollmilch 3.5%,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13869', 'name': 'Milchprodukte', 'slug': 'milchprodukte-13869', 'orderHint': '000001190'}, {'key': '13871', 'name': 'Haltbarmilch & Kondensmilch', 'slug': 'haltbarmilch-und-kondensmilch-13871', 'orderHint': '000001210'}]]",49e95946-1d50-4f84-9b4d-fbac7b0f623b,False,00-746506,clever-haltbarvollmilch-35-00746506,,True,False,lt,Liter,liter,1.062,False,False,0,,,Österreich,,,,,,,,,"['gs-gentech', 'homecountry']",,,"Ungekühlt haltbar.
Nach dem Öffnen gekühlt (+6°C) lagern und innerhalb von 1-2 Tagen aufbrauchen.",,,,,1.0,CLEVER,clever,Liter,Liter,1,119.0,[],119.0,,,['CONTAINS AM'],36.0,,,,,,,,,,,,
4,,Küchenrollen,1.0,,"Die clever Küchenrolle ist eine praktische, saugstarke Küchenrolle, die als 'Alleshelfer' im Haushalt eingesetzt werden kann.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-736948-1535177106-jYDkLBfN.jpg'],Clever Küchenrolle,Packung,pa,"[[{'key': '14126', 'name': 'Haushalt', 'slug': 'haushalt-14126', 'orderHint': '000003760'}, {'key': '14150', 'name': 'Küchenrollen & WC-Papier', 'slug': 'kuechenrollen-und-wcpapier-14150', 'orderHint': '000004000'}, {'key': '14153', 'name': 'Küchenrollen', 'slug': 'kuechenrollen-14153', 'orderHint': '000004030'}]]",2c913568-abd6-40f8-9180-4578e0c365d1,False,00-736948,clever-kuechenrolle-00736948,,True,False,rl,Rollen,,0.868,False,False,0,,,Polen,,,,,,,,,,,,"Trocken lagern.
",,,,,1.0,CLEVER,clever,Rollen,Rollen,,264.0,[],264.0,,,,6.0,,,,,,,,,,,,
100,,Gartengemüse,1000.0,"Klasse I<br><br>Die handverlesenen Ja! Natürlich Bio-Maroni kommen aus traditionellen Anbauregionen Italiens. Nach der Ernte werden die Maroni per Hand selektiert und fein gegart, damit sie ihr einzigartiges Aroma entfalten können.<br><ul><li>Sofort zum Genießen</li><li>Aus traditionellen Anbauregionen Italiens</li><li>Saftiger Geschmack</li></ul><br>Unsere Bio-Maroni eignen sich ideal als köstliche Zwischenmahlzeit, verfeinern Gebäck und Süßspeisen sowie herzhafte Fleischgerichte und machen auch als schmackhafte Knabberei zu Käse und Rotwein eine gute Figur.","Klasse I Die handverlesenen Ja! Natürlich Bio-Maroni kommen aus traditionellen Anbauregionen Italiens, wo sie von ausgewählten Bio-Bauern- und Bäuerinnen nach den strengen Richtlinien der biologischen Landwirtschaft kultiviert werden. Nach der Ernte werden die Bio-Maroni per Hand selektiert und fein gegart - so konnen sie ihr einzigartiges Aroma und ihren unvergleichlichen Geschmack am besten entfalten.<p><ul><li>Eignen sich ideal als kostliche Zwischenmalzeit, verfeinern Gebäck, Süßspeisen sowie herzhafte Fleischgerichte</li><li>Sofort zum Genießen</li><li>Saftig im Geschmack</li><li>Ohne chemisch-synthetische Pflanzenschutzmittel</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89479-0505196499-dtVQikM-.jpg'],Ja! Natürlich Maroni gegart,Packung,pa,"[[{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13757', 'name': 'Gemüse', 'slug': 'gemuese-13757', 'orderHint': '000000010'}, {'key': '13758', 'name': 'Gartengemüse', 'slug': 'gartengemuese-13758', 'orderHint': '000000080'}]]",495dc68d-fa05-47fb-9267-59e423c86bda,False,00-89479,ja-natuerlich-maroni-gegart-0089479,,True,False,gr,Gramm,g,0.106,False,False,0,,,Italien,,,,,,,,,"['pp-veget', 'pp-bio']",,,"Vor Wärme geschützt lagern
Nach dem Öffnen unmittelbar verzehren.",,,,,,Ja! Natürlich,ja--natuerlich,Kilogramm,kg,1,1790.0,['pt-multi'],179.0,,,,,,219.0,-18.0,2.0,ab 2 Packungen,FROM,219.0,,,,,
1,,Gartengemüse,1.0,,"Ja! Natürlich Bio-Zucchinis stammen aus kontrolliert biologischer Landwirtschaft: also keine chemisch-synthetischen Hilfsmittel, sondern nur Düngung mit Kompost und ein langsameres Wachstum durch die natürliche Reifezeit. Dadurch entwickeln Ja! Natürlich Bio-Zucchinis einfach mehr Geschmacks- und Aromastoffe und einen hoheren Anteil an Vitaminen, Ballast- und Mineralstoffen.In den Sommermonaten kommt die Ja! Natürlich Zucchini aus dem Österreich, in den Wintermonaten von einem langjahrigen italienischen Partnerbetrieb. Zucchinis kann man füllen, in Scheiben schneiden und schmoren, braten, überbacken oder roh Salaten beifugen. Sie passen zu allen Fischgerichten, Fleisch und Geflügel und lassen sich mit nahezu allen anderen Gemüsesorten kombinieren.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-402495-0864824494-KdAVmQ5z.jpg'],Ja! Natürlich Zucchini,Stück,st,"[[{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13757', 'name': 'Gemüse', 'slug': 'gemuese-13757', 'orderHint': '000000010'}, {'key': '13758', 'name': 'Gartengemüse', 'slug': 'gartengemuese-13758', 'orderHint': '000000080'}]]",52eeba36-4f0c-488f-9029-c8709e0e5be0,False,00-402495,ja-natuerlich-zucchini-00402495,00-870325,True,False,st,Stück,stk,0.18,False,False,0,,,Spanien,,,,,,,,,"['pp-veget', 'pp-bio']",,,,,,,,1.0,Ja! Natürlich,ja--natuerlich,Stück,Stk,,149.0,[],149.0,,,,,,,,,,,,,,,,
0.5,,Dosenbier,0.5,,"<ul><li>Ausgezeichnete Qualität: Ottakringer Helles gewinnt Silber beim European Beer Star 2020.</li><li>Ausgewogen - süffig - echt</li><li>Bester Hopfen und Malz sowie mildes Quellwasser aus unserem hauseigenen Tiefquell sorgen für die ausgewogene Balance zwischen leichtem Malzaroma mit fruchtigen Noten und einer angenehmen Bittere. Unverkennbar ist auch die strohgelbe Farbe des Bieres sowie der frische Duft nach Hefe.</li><li>Alkoholgehalt: 5,2 % Vol.</li><li>Stammwürze: 11,8°</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769927-0198077459-tDNUiAIf.jpg'],Ottakringer Helles,Dose,ds,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13796', 'name': 'Bier & Radler', 'slug': 'bier-und-radler-13796', 'orderHint': '000000460'}, {'key': '13798', 'name': 'Dosenbier', 'slug': 'dosenbier-13798', 'orderHint': '000000480'}]]",2c83e598-283c-41e4-ae99-b43c3df18c3b,False,00-769927,ottakringer-helles-00769927,,True,False,lt,Liter,liter,0.52,False,False,0,5.2,,Österreich,,,,,,,,,"['pp-veget', 'pp-vegan', 'homecountry', 'isdeposittype-singleusedeposit']",Malz & Hopfen reichen sich die Hände für bestes österreichisches Märzenbier. Goldgelb in der Farbe ist unser Ottakringer Helles sehr ausgewogen im Geschmack. Frische und dezente Fruchtigkeit samt elegant leichter Herbe machen unseren Klassiker zu deinem Lieblingsbier.,,Vor Wärme geschützt lagern.,,,,,,Ottakringer,ottakringer,Milliliter,ml,500,139.0,[],139.0,216.0,SINGLE_USE,['CONTAINS AW'],72.0,25.0,,,,,,,,,,,
0.5,,Dosenbier,0.5,,"<ul><li>Das Schwechater Bier ist ein klassisches Lagerbier und Österreichs meistverkauftes Dosenbier.</li><li>Kristallklar und in der Farbe goldgelb.</li><li>Im Duft malzaromatisch mit anregender Hopfennase.</li><li>Im Antrunk frisch, harmonisch herb mit zarter Hopfenbittere am Gaumen, langsam ausklingend.</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769921-0801077395-0HS5v11t.jpg'],Schwechater Bier,Dose,ds,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13796', 'name': 'Bier & Radler', 'slug': 'bier-und-radler-13796', 'orderHint': '000000460'}, {'key': '13798', 'name': 'Dosenbier', 'slug': 'dosenbier-13798', 'orderHint': '000000480'}]]",45d629c8-5745-4035-8204-2709d9f5f62c,False,00-769921,schwechater-bier-00769921,,True,False,lt,Liter,liter,0.52,False,False,0,5.0,,Österreich,,,,,,,,,"['pp-veget', 'pp-vegan', 'homecountry', 'isdeposittype-singleusedeposit']",".recht hat er.
Seit 1632 steht Schwechat für Pionierleistungen in der Braukunst. Anton Dreher stellte 1841 das erste untergärige Lagerbier der Braugeschichte her und machte damit das Schwechater Bier weltberühmt.",,Vor Wärme geschützt lagern.,,,,,,Schwechater,schwechater,Milliliter,ml,500,133.0,[],133.0,216.0,SINGLE_USE,['CONTAINS AW'],72.0,25.0,,,,,,,,,,,
200,,Schinken,1000.0,,"Rein österreichisches Schweinefleisch wird zu Herstellung des clever Toastschinkens verwendet. Er ist sehr vielseitig einsetzbar, probieren Sie beispielsweise herzhafte Schinkenrollen oder Schinken-Käsetoast.",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-425215-851353062-vzXauxow.jpg'],Clever Toastschinken,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13891', 'name': 'Wurst, Schinken & Speck', 'slug': 'wurst-schinken-und-speck-13891', 'orderHint': '000001410'}, {'key': '13899', 'name': 'Schinken', 'slug': 'schinken-13899', 'orderHint': '000001490'}]]",0061262c-ce08-4279-b360-4381ce9f86ea,False,00-425215,clever-toastschinken-00425215,,True,False,gr,Gramm,g,0.218,False,False,0,,,Österreich,,,,,,,,,"['pp-lakto', 'kuehlung', 'pp-glutenfr', 'homecountry']",,,Nach dem Öffnen fest verschließen und ehebaldigst verzehren. Gekühlt lagern bei +2 °C bis +6 °C.,,,,,,CLEVER,clever,Kilogramm,kg,1,995.0,['pt-aktion'],199.0,,,"['MAY_CONTAIN BM', 'MAY_CONTAIN BC']",6.0,,279.0,-28.0,,,,279.0,189.0,,,,
1,,Gartengemüse,1.0,,Klasse II,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-443875-0615312939-hWh7sPfF.jpg'],BILLA Bio Gurken,Stück,st,"[[{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13757', 'name': 'Gemüse', 'slug': 'gemuese-13757', 'orderHint': '000000010'}, {'key': '13758', 'name': 'Gartengemüse', 'slug': 'gartengemuese-13758', 'orderHint': '000000080'}]]",0d6518f7-60dc-4c7c-9786-ebe3c830d2de,False,00-443875,billa-bio-gurken-00443875,00-82531,True,False,st,Stück,stk,0.36,False,False,0,,,Italien,,,,,,,,,"['pp-veget', 'pp-bio']",,,,,,,,,BILLA Bio,billa-bio,Stück,Stk,,179.0,[],179.0,,,,,,,,,,,,,,,,
250,,Butter,1000.0,,"Es muss nicht immer Haute-Cuisine sein: Mit der österreichischen Teebutter von Clever wird ab sofort jede Scheibe Brot zu einem kulinarischen Highlight.<ul><li>besonders streichfähig</li><li>zum Aufstreichen, für Kurzgebratenes oder zum Backen</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-425413-0156240836-MlnZN_ph.jpg'],Clever Österreichische Teebutter,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13869', 'name': 'Milchprodukte', 'slug': 'milchprodukte-13869', 'orderHint': '000001190'}, {'key': '13870', 'name': 'Butter', 'slug': 'butter-13870', 'orderHint': '000001200'}]]",13380dc2-25b6-45f7-9689-1bef0265ea28,False,00-425413,clever-oesterreichische-teebutter-00425413,,True,False,gr,Gramm,g,0.26,False,False,0,,,Österreich,,,,,,,,,"['gs-amaguete', 'kuehlung', 'gs-gentech', 'homecountry']",,,"Gekühlt bei 3-9 °C lagern.
Nach dem Öffnen weiterhin gekühlt lagern und innerhalb weniger Tage aufbrauchen.",,,,,1.0,CLEVER,clever,Kilogramm,kg,1,716.0,['pt-kurant'],179.0,,,['CONTAINS AM'],10.0,,,,,,,,,,,,
250,,Butter,1000.0,,Die Ja! Natürlich Österreichische Bio-Butter wird aus bester heimischer Bio-Milch von ausgewählten österreichischen Bio-Bauernhöfen hergestellt und überzeugt durch ihren vollen rahmigen Geschmack.<ul><li>100% Bio-Rahm</li><li>Rahmig-vollmundig</li><li>Gentechnikfrei</li><li>100% Bio</li><li>Aus Österreich</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-827690-0884390831--oHO_70J.jpg'],Ja! Natürlich Butter,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13869', 'name': 'Milchprodukte', 'slug': 'milchprodukte-13869', 'orderHint': '000001190'}, {'key': '13870', 'name': 'Butter', 'slug': 'butter-13870', 'orderHint': '000001200'}]]",79ab85a2-2900-475f-8cef-e0e33e6943bd,False,00-827690,ja-natuerlich-butter-00827690,,True,False,gr,Gramm,g,0.254,False,False,0,,,Österreich,,,,,,,,,"['kuehlung', 'gs-gentech', 'pp-bio', 'homecountry']",,,"Gekühlt lagern bei +3 bis + 6°C.
Nach dem Öffnen weiterhin gekühlt lagern und innerhalb einiger Tage verzehren.",,,,,1.0,Ja! Natürlich,ja--natuerlich,Kilogramm,kg,1,1276.0,[],319.0,,,['CONTAINS AM'],12.0,,,,,,,,,,,,
10,,Eier,1.0,,"Die mittelgroßen Bio-Eier von Ja! Natürlich stammen von Hühnern, die Freilauf genießen. Außerdem erhalten die Hennen biologisch hergestelltes Futter aus Österreich.<ul><li>Hühner genießen großzügiger Auslauf</li><li>gekühlte Lieferung</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-820829-0164080327-6EbOkms8.jpg'],Ja! Natürlich Bio Eier M,Karton,kt,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13955', 'name': 'Backen', 'slug': 'backen-13955', 'orderHint': '000002050'}, {'key': '13960', 'name': 'Eier', 'slug': 'eier-13960', 'orderHint': '000002100'}], [{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13848', 'name': 'Eier', 'slug': 'eier-13848', 'orderHint': '000000980'}]]",cf99a7df-9d45-44f4-bd22-fa4110561c1e,False,00-820829,ja-natuerlich-bio-eier-m-00820829,,True,False,st,Stück,stk,0.622,False,False,0,,,Österreich,,,,,,,,,"['gs-amaguete', 'gs-gentech', 'pp-bio', 'homecountry']",,,,,,,,1.0,Ja! Natürlich,ja--natuerlich,Stück,Stk,1,50.0,[],499.0,,,['CONTAINS AE'],6.0,,,,,,,,,,,,
1.5,,Mineralwasser,1.0,,"Das natürliche Mineralwasser Vöslauer Prickelnd erfreut als gesunde Erfrischung und ist ein echtes, österreichisches Traditionsprodukt.<br><br><ul><li>abgefüllt am Quellort</li><li>natürliches Mineralwasser</li><li>mit Kohlensäure versetzt</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769493-1738046199-BNWlj4De.jpg'],Vöslauer Prickelnd,Flasche,fl,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13785', 'name': 'Alkoholfreie Getränke', 'slug': 'alkoholfreie-getraenke-13785', 'orderHint': '000000350'}, {'key': '13792', 'name': 'Mineralwasser', 'slug': 'mineralwasser-13792', 'orderHint': '000000420'}], [{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13837', 'name': 'Mineralwasser', 'slug': 'mineralwasser-13837', 'orderHint': '000000870'}, {'key': '13840', 'name': 'prickelnd', 'slug': 'prickelnd-13840', 'orderHint': '000000900'}]]",5dc885b3-e699-4de6-a45f-45dd6c635098,False,00-769493,voeslauer-prickelnd-00769493,00-762717,True,False,lt,Liter,liter,1.55,False,False,0,,,Österreich,,,,,,,,,"['pp-veget', 'homecountry', 'isdeposittype-singleusedeposit']","Das Lieblingswasser der Österreicher:innen!
Die 1,5 l Leichtflasche von Vöslauer ist Österreichs Durstlöscher Nummer 1. Prickelnd, praktisch - und mit Leichtdrehverschluss ist sie der perfekte Begleiter für jeden Tag. 

Vöslauer prickelnd
Unser ursprünglich reines, klares, natürliches Mineralwasser mit Kohlensäure. Für ein prickelndes Erlebnis. Die besonders ausgewogene Mineralisierung macht es zum optimalen Durstlöscher.",,"Vor Wärme und direkter Sonneneinstrahlung schützen.
Ich bin eine Pfandflasche zerdrück mich nicht & lass das Etikett drauf!",,,,,1.0,Vöslauer,voeslauer,Liter,Liter,1,63.0,[],95.0,,SINGLE_USE,,36.0,25.0,,,,,,,,,,,
10,,Eier,1.0,,"BILLA immer gut Freilandeier kommen von regionalen Bauern
Lagertipp: nach dem Kauf bei max. 8 C im Kühlschrank lagern.
Güteklasse A
AMA-Gütesiegel
Größe M
10 Stück",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-482550-1704896387-w1ReamNq.jpg'],BILLA Freilandeier M,Packung,pa,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13955', 'name': 'Backen', 'slug': 'backen-13955', 'orderHint': '000002050'}, {'key': '13960', 'name': 'Eier', 'slug': 'eier-13960', 'orderHint': '000002100'}], [{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13848', 'name': 'Eier', 'slug': 'eier-13848', 'orderHint': '000000980'}]]",c8c38254-6013-4608-8704-859e98148672,False,00-482550,billa-freilandeier-m-00482550,,True,False,st,Stück,stk,0.626,False,False,0,,,Österreich,,,,,,,,,"['pp-veget', 'homecountry']",,,Nach dem Kauf bei Kühlschranktemperatur aufbewahren.,,,,,1.0,Billa immer gut,billa-immer-gut,Stück,Stk,1,35.0,[],349.0,,,['CONTAINS AE'],,,,,,,,,,,,,
500,,"Äpfel, Birnen & Trauben",1000.0,,Klasse I<br><br>Weintrauben erfreuen sich großer Beliebtheit. Die weißen kernlosen Trauben sind ein gesunder Snack oder passen zu einem herzhaften Kaseteller und spenden reichlich Vitamine.<br><ul><li>kernlos und frisch</li><li>sehr saftig</li><li>nahrstoff- und vitaminreich</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89414-1464299862-5aEkSi8x.jpg'],Trauben weiß kernlos,Becher,be,"[[{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13752', 'name': 'Obst', 'slug': 'obst-13752', 'orderHint': '000000020'}, {'key': '13753', 'name': 'Äpfel, Birnen & Trauben', 'slug': 'aepfel-birnen-und-trauben-13753', 'orderHint': '000000030'}]]",bba930d6-e693-4d97-95e2-d1ed9a14ff25,False,00-89414,trauben-weiss-kernlos-0089414,00-439056,True,False,gr,Gramm,g,0.516,False,False,0,,,"Spanien, Marokko, Italien, Indien, Brasilien",,,,,,,,,"['pp-veget', 'pp-vegan']",,,,,,,,,,,Kilogramm,kg,1,458.0,[],229.0,,,,,,,,,,,,,,,,
